2020-06-15-16-45-01.852134,49,False
2020-06-15-16-45-01.864488,53,False
2020-06-15-16-45-01.875836,49,False
2020-06-15-16-45-01.887485,45,False
2020-06-15-16-45-01.898702,41,False
2020-06-15-16-45-01.910985,40,False
2020-06-15-16-45-01.922208,34,False
2020-06-15-16-45-01.934495,38,False
2020-06-15-16-45-01.946263,40,False
2020-06-15-16-45-01.958910,41,False
2020-06-15-16-45-01.970998,40,False
2020-06-15-16-45-01.981479,31,False
2020-06-15-16-45-01.991783,25,False
2020-06-15-16-45-02.001921,20,False
2020-06-15-16-45-02.014619,15,False
2020-06-15-16-45-02.029693,22,False
2020-06-15-16-45-02.041204,35,False
2020-06-15-16-45-02.053110,47,False
2020-06-15-16-45-02.065121,50,False
2020-06-15-16-45-02.075942,52,False
2020-06-15-16-45-02.086834,39,False
2020-06-15-16-45-02.099417,25,False
2020-06-15-16-45-02.111378,12,False
2020-06-15-16-45-02.122316,14,False
2020-06-15-16-45-02.133585,17,False
2020-06-15-16-45-02.144036,23,False
2020-06-15-16-45-02.155153,32,False
2020-06-15-16-45-02.166589,41,False
2020-06-15-16-45-02.178770,43,False
2020-06-15-16-45-02.191062,53,False
2020-06-15-16-45-02.203178,64,False
2020-06-15-16-45-02.215135,72,False
2020-06-15-16-45-02.225983,80,False
2020-06-15-16-45-02.236181,88,False
2020-06-15-16-45-02.248700,75,False
2020-06-15-16-45-02.261918,62,False
2020-06-15-16-45-02.273038,50,False
2020-06-15-16-45-02.283810,44,False
2020-06-15-16-45-02.295617,33,False
2020-06-15-16-45-02.307663,36,False
2020-06-15-16-45-02.319420,33,False
2020-06-15-16-45-02.331090,34,False
2020-06-15-16-45-02.343349,29,False
2020-06-15-16-45-02.354636,29,False
2020-06-15-16-45-02.366080,23,False
2020-06-15-16-45-02.378791,23,False
2020-06-15-16-45-02.391001,19,False
2020-06-15-16-45-02.402108,13,False
2020-06-15-16-45-02.412895,7,False
2020-06-15-16-45-02.424281,6,False
2020-06-15-16-45-02.434524,5,False
2020-06-15-16-45-02.445102,4,False
2020-06-15-16-45-02.456594,4,False
2020-06-15-16-45-02.468770,5,False
2020-06-15-16-45-02.481095,12,False
2020-06-15-16-45-02.492529,20,False
2020-06-15-16-45-02.504754,27,False
2020-06-15-16-45-02.517137,34,False
2020-06-15-16-45-02.528240,42,False
2020-06-15-16-45-02.540717,44,False
2020-06-15-16-45-02.551691,47,False
2020-06-15-16-45-02.562611,50,False
2020-06-15-16-45-02.573630,52,False
2020-06-15-16-45-02.584077,54,False
2020-06-15-16-45-02.596165,52,False
2020-06-15-16-45-02.608694,51,False
2020-06-15-16-45-02.621378,46,False
2020-06-15-16-45-02.634529,42,False
2020-06-15-16-45-02.646238,39,False
2020-06-15-16-45-02.658650,34,False
2020-06-15-16-45-02.671105,29,False
2020-06-15-16-45-02.682787,28,False
2020-06-15-16-45-02.695700,29,False
2020-06-15-16-45-02.707018,31,False
2020-06-15-16-45-02.718906,38,False
2020-06-15-16-45-02.731035,35,False
2020-06-15-16-45-02.742792,32,False
2020-06-15-16-45-02.753188,26,False
2020-06-15-16-45-02.765039,20,False
2020-06-15-16-45-02.776058,10,False
2020-06-15-16-45-02.792195,9,False
2020-06-15-16-45-02.803044,8,False
2020-06-15-16-45-02.814251,6,False
2020-06-15-16-45-02.826553,5,False
2020-06-15-16-45-02.838629,7,False
2020-06-15-16-45-02.851042,17,False
2020-06-15-16-45-02.863758,28,False
2020-06-15-16-45-02.875429,36,False
2020-06-15-16-45-02.886029,45,False
2020-06-15-16-45-02.897258,52,False
2020-06-15-16-45-02.908785,51,False
2020-06-15-16-45-02.921056,54,False
2020-06-15-16-45-02.933453,60,False
2020-06-15-16-45-02.944064,65,False
2020-06-15-16-45-02.956237,69,False
2020-06-15-16-45-02.968765,74,False
2020-06-15-16-45-02.981009,74,False
2020-06-15-16-45-02.993293,67,False
2020-06-15-16-45-03.003640,60,False
2020-06-15-16-45-03.014513,53,False
2020-06-15-16-45-03.025943,46,False
2020-06-15-16-45-03.036703,38,False
2020-06-15-16-45-03.048810,38,False
2020-06-15-16-45-03.062210,37,False
2020-06-15-16-45-03.072746,37,False
2020-06-15-16-45-03.083389,37,False
2020-06-15-16-45-03.095117,48,False
2020-06-15-16-45-03.107012,80,False
2020-06-15-16-45-03.118833,113,False
2020-06-15-16-45-03.131042,146,False
2020-06-15-16-45-03.143067,342,False
2020-06-15-16-45-03.154042,527,False
2020-06-15-16-45-03.166034,644,False
2020-06-15-16-45-03.177077,762,False
2020-06-15-16-45-03.188793,880,False
2020-06-15-16-45-03.201063,776,False
2020-06-15-16-45-03.213555,673,False
2020-06-15-16-45-03.224974,614,False
2020-06-15-16-45-03.235158,476,False
2020-06-15-16-45-03.247971,338,False
2020-06-15-16-45-03.260209,258,False
2020-06-15-16-45-03.273341,396,False
2020-06-15-16-45-03.283615,533,False
2020-06-15-16-45-03.294954,750,False
2020-06-15-16-45-03.306722,1029,False
2020-06-15-16-45-03.318848,1313,False
2020-06-15-16-45-03.331187,1380,True
2020-06-15-16-45-03.342802,1446,True
2020-06-15-16-45-03.354293,1513,True
