2020-06-15-16-39-58.509128,-8
2020-06-15-16-39-58.521727,-8
2020-06-15-16-39-58.532866,-8
2020-06-15-16-39-58.544970,35
2020-06-15-16-39-58.557587,35
2020-06-15-16-39-58.569162,35
2020-06-15-16-39-58.581169,56
2020-06-15-16-39-58.591882,56
2020-06-15-16-39-58.602018,56
2020-06-15-16-39-58.613049,56
2020-06-15-16-39-58.623966,44
2020-06-15-16-39-58.635962,44
2020-06-15-16-39-58.648551,6
2020-06-15-16-39-58.660927,26
2020-06-15-16-39-58.673611,26
2020-06-15-16-39-58.685551,26
2020-06-15-16-39-58.696244,-24
2020-06-15-16-39-58.708544,-24
2020-06-15-16-39-58.718765,-24
2020-06-15-16-39-58.732255,51
2020-06-15-16-39-58.746392,51
2020-06-15-16-39-58.758478,51
2020-06-15-16-39-58.771110,23
2020-06-15-16-39-58.782753,23
2020-06-15-16-39-58.793989,23
2020-06-15-16-39-58.804490,10
2020-06-15-16-39-58.816247,10
2020-06-15-16-39-58.828505,10
2020-06-15-16-39-58.840901,-6
2020-06-15-16-39-58.852598,-6
2020-06-15-16-39-58.864832,-6
2020-06-15-16-39-58.876703,-6
2020-06-15-16-39-58.888462,-6
2020-06-15-16-39-58.900946,2
2020-06-15-16-39-58.912607,2
2020-06-15-16-39-58.924184,2
2020-06-15-16-39-58.935865,56
2020-06-15-16-39-58.947190,56
2020-06-15-16-39-58.958532,56
2020-06-15-16-39-58.970848,57
2020-06-15-16-39-58.983225,76
2020-06-15-16-39-58.995605,76
2020-06-15-16-39-59.006714,76
2020-06-15-16-39-59.018884,40
2020-06-15-16-39-59.032386,40
2020-06-15-16-39-59.044171,40
2020-06-15-16-39-59.056161,60
2020-06-15-16-39-59.068473,60
2020-06-15-16-39-59.080827,60
2020-06-15-16-39-59.092843,60
2020-06-15-16-39-59.105083,25
2020-06-15-16-39-59.117382,25
2020-06-15-16-39-59.129313,25
2020-06-15-16-39-59.140852,18
2020-06-15-16-39-59.153550,18
2020-06-15-16-39-59.164900,18
2020-06-15-16-39-59.177450,3
2020-06-15-16-39-59.189191,3
2020-06-15-16-39-59.200888,3
2020-06-15-16-39-59.212649,-4
2020-06-15-16-39-59.222865,26
2020-06-15-16-39-59.234755,26
2020-06-15-16-39-59.246385,12
2020-06-15-16-39-59.258494,37
2020-06-15-16-39-59.270862,37
2020-06-15-16-39-59.282466,11
2020-06-15-16-39-59.293978,26
2020-06-15-16-39-59.305538,26
2020-06-15-16-39-59.316784,26
2020-06-15-16-39-59.328561,37
2020-06-15-16-39-59.340992,37
2020-06-15-16-39-59.353010,58
2020-06-15-16-39-59.363831,58
2020-06-15-16-39-59.375267,58
2020-06-15-16-39-59.385929,58
2020-06-15-16-39-59.398506,49
2020-06-15-16-39-59.411219,70
2020-06-15-16-39-59.423921,70
2020-06-15-16-39-59.434732,70
2020-06-15-16-39-59.447123,55
2020-06-15-16-39-59.458556,55
2020-06-15-16-39-59.470967,55
2020-06-15-16-39-59.483303,35
2020-06-15-16-39-59.495882,9
2020-06-15-16-39-59.506786,9
2020-06-15-16-39-59.519057,24
2020-06-15-16-39-59.530957,11
2020-06-15-16-39-59.541363,11
2020-06-15-16-39-59.553089,11
2020-06-15-16-39-59.564494,10
2020-06-15-16-39-59.577148,10
2020-06-15-16-39-59.588982,10
2020-06-15-16-39-59.600879,33
2020-06-15-16-39-59.613144,33
2020-06-15-16-39-59.624645,33
2020-06-15-16-39-59.636528,1
2020-06-15-16-39-59.649105,29
2020-06-15-16-39-59.660970,29
2020-06-15-16-39-59.673203,18
2020-06-15-16-39-59.684894,18
2020-06-15-16-39-59.696342,18
2020-06-15-16-39-59.708609,-4
2020-06-15-16-39-59.720846,-4
2020-06-15-16-39-59.733267,-4
2020-06-15-16-39-59.745494,53
2020-06-15-16-39-59.757999,53
2020-06-15-16-39-59.769207,53
2020-06-15-16-39-59.781910,27
2020-06-15-16-39-59.793547,53
2020-06-15-16-39-59.805244,53
2020-06-15-16-39-59.817127,48
2020-06-15-16-39-59.828612,45
2020-06-15-16-39-59.840856,45
2020-06-15-16-39-59.852821,45
2020-06-15-16-39-59.863983,45
2020-06-15-16-39-59.874876,45
2020-06-15-16-39-59.887425,45
2020-06-15-16-39-59.898627,56
2020-06-15-16-39-59.910896,69
2020-06-15-16-39-59.921084,69
2020-06-15-16-39-59.932743,69
2020-06-15-16-39-59.954669,9
2020-06-15-16-39-59.967186,9
2020-06-15-16-39-59.982948,9
2020-06-15-16-39-59.997090,9
2020-06-15-16-40-00.022887,-21
2020-06-15-16-40-00.035203,-21
2020-06-15-16-40-00.046817,12
2020-06-15-16-40-00.058794,12
2020-06-15-16-40-00.070861,12
2020-06-15-16-40-00.083043,0
2020-06-15-16-40-00.095297,0
2020-06-15-16-40-00.106145,0
2020-06-15-16-40-00.118512,34
2020-06-15-16-40-00.130898,34
2020-06-15-16-40-00.141138,34
2020-06-15-16-40-00.151235,34
2020-06-15-16-40-00.162313,33
2020-06-15-16-40-00.173307,33
2020-06-15-16-40-00.185324,33
2020-06-15-16-40-00.195506,33
2020-06-15-16-40-00.206225,64
2020-06-15-16-40-00.218586,64
2020-06-15-16-40-00.230997,64
2020-06-15-16-40-00.242798,39
2020-06-15-16-40-00.255161,39
2020-06-15-16-40-00.266840,39
2020-06-15-16-40-00.278535,39
2020-06-15-16-40-00.290861,39
2020-06-15-16-40-00.301728,37
2020-06-15-16-40-00.314006,26
2020-06-15-16-40-00.325567,26
2020-06-15-16-40-00.336918,26
2020-06-15-16-40-00.349234,521
2020-06-15-16-40-00.360915,521
2020-06-15-16-40-00.372212,521
2020-06-15-16-40-00.384445,-363
2020-06-15-16-40-00.396433,-363
2020-06-15-16-40-00.408651,-363
2020-06-15-16-40-00.420995,-2048
2020-06-15-16-40-00.432914,-2048
2020-06-15-16-40-00.444631,-2048
2020-06-15-16-40-00.456185,-2048
2020-06-15-16-40-00.468629,-1076
2020-06-15-16-40-00.480945,-1076
2020-06-15-16-40-00.493170,-1076
2020-06-15-16-40-00.505591,-460
2020-06-15-16-40-00.516712,-460
2020-06-15-16-40-00.528589,-460
2020-06-15-16-40-00.540914,119
2020-06-15-16-40-00.552784,119
2020-06-15-16-40-00.564059,119
2020-06-15-16-40-00.576715,119
2020-06-15-16-40-00.588578,119
2020-06-15-16-40-00.601036,883
2020-06-15-16-40-00.612411,1112
2020-06-15-16-40-00.624445,1112
2020-06-15-16-40-00.635798,1187
2020-06-15-16-40-00.646325,1206
2020-06-15-16-40-00.658639,1206
2020-06-15-16-40-00.671049,1206
2020-06-15-16-40-00.683257,1018
2020-06-15-16-40-00.695342,1018
2020-06-15-16-40-00.706178,1018
2020-06-15-16-40-00.718568,736
2020-06-15-16-40-00.730985,736
2020-06-15-16-40-00.742193,736
2020-06-15-16-40-00.754565,529
2020-06-15-16-40-00.766212,529
2020-06-15-16-40-00.778595,529
2020-06-15-16-40-00.790957,529
2020-06-15-16-40-00.801725,361
2020-06-15-16-40-00.812551,307
2020-06-15-16-40-00.823360,307
2020-06-15-16-40-00.836022,307
2020-06-15-16-40-00.849282,179
2020-06-15-16-40-00.861071,179
2020-06-15-16-40-00.872525,179
2020-06-15-16-40-00.883223,179
2020-06-15-16-40-00.894747,179
2020-06-15-16-40-00.905692,99
2020-06-15-16-40-00.917126,99
2020-06-15-16-40-00.928713,99
2020-06-15-16-40-00.941175,51
2020-06-15-16-40-00.953852,36
2020-06-15-16-40-00.965384,36
2020-06-15-16-40-00.976838,8
2020-06-15-16-40-00.988559,-10
2020-06-15-16-40-01.000900,-10
2020-06-15-16-40-01.012125,-10
2020-06-15-16-40-01.023145,-6
2020-06-15-16-40-01.034383,-6
2020-06-15-16-40-01.045738,-6
2020-06-15-16-40-01.055902,-42
2020-06-15-16-40-01.067786,-75
2020-06-15-16-40-01.079685,-75
2020-06-15-16-40-01.091051,-45
2020-06-15-16-40-01.102260,-72
2020-06-15-16-40-01.114416,-72
2020-06-15-16-40-01.126078,-72
2020-06-15-16-40-01.138564,-38
2020-06-15-16-40-01.150928,-38
2020-06-15-16-40-01.162812,-38
2020-06-15-16-40-01.173516,-38
2020-06-15-16-40-01.185876,-38
2020-06-15-16-40-01.196551,-43
2020-06-15-16-40-01.208662,-52
2020-06-15-16-40-01.220979,-52
2020-06-15-16-40-01.232665,-52
2020-06-15-16-40-01.244245,-27
2020-06-15-16-40-01.255087,-27
2020-06-15-16-40-01.267392,-27
2020-06-15-16-40-01.278889,-5
2020-06-15-16-40-01.290905,-5
2020-06-15-16-40-01.303227,-5
2020-06-15-16-40-01.315948,-7
2020-06-15-16-40-01.327009,-7
2020-06-15-16-40-01.338669,-7
2020-06-15-16-40-01.350989,-36
2020-06-15-16-40-01.362738,-36
2020-06-15-16-40-01.374829,-36
2020-06-15-16-40-01.387252,-7
2020-06-15-16-40-01.398924,-10
2020-06-15-16-40-01.410940,-10
2020-06-15-16-40-01.423469,-10
2020-06-15-16-40-01.433893,-10
2020-06-15-16-40-01.445461,-10
2020-06-15-16-40-01.456984,-38
2020-06-15-16-40-01.468651,-38
2020-06-15-16-40-01.480935,-38
2020-06-15-16-40-01.492301,-38
2020-06-15-16-40-01.504453,-38
2020-06-15-16-40-01.515586,-38
2020-06-15-16-40-01.526692,-38
2020-06-15-16-40-01.539114,-36
2020-06-15-16-40-01.550966,-36
2020-06-15-16-40-01.563114,-36
2020-06-15-16-40-01.575068,9
2020-06-15-16-40-01.587450,9
2020-06-15-16-40-01.598688,9
2020-06-15-16-40-01.611043,34
2020-06-15-16-40-01.621479,34
2020-06-15-16-40-01.633446,34
2020-06-15-16-40-01.645170,5
2020-06-15-16-40-01.656403,5
2020-06-15-16-40-01.668690,5
2020-06-15-16-40-01.680988,-12
2020-06-15-16-40-01.692784,-12
2020-06-15-16-40-01.703455,-12
2020-06-15-16-40-01.714101,19
2020-06-15-16-40-01.724335,-18
2020-06-15-16-40-01.735322,-18
2020-06-15-16-40-01.745683,-18
2020-06-15-16-40-01.756926,52
2020-06-15-16-40-01.768634,52
2020-06-15-16-40-01.780924,52
2020-06-15-16-40-01.792754,52
2020-06-15-16-40-01.803978,-19
2020-06-15-16-40-01.815099,-19
2020-06-15-16-40-01.825731,-19
2020-06-15-16-40-01.837621,51
2020-06-15-16-40-01.848702,51
2020-06-15-16-40-01.860925,51
2020-06-15-16-40-01.872926,2
2020-06-15-16-40-01.884941,2
2020-06-15-16-40-01.897091,2
2020-06-15-16-40-01.908662,-56
2020-06-15-16-40-01.921005,-56
2020-06-15-16-40-01.932868,-56
2020-06-15-16-40-01.944978,-17
2020-06-15-16-40-01.956707,-17
2020-06-15-16-40-01.968663,-17
2020-06-15-16-40-01.981419,22
2020-06-15-16-40-01.992805,6
2020-06-15-16-40-02.004648,6
2020-06-15-16-40-02.016227,6
2020-06-15-16-40-02.026609,40
2020-06-15-16-40-02.038653,40
2020-06-15-16-40-02.050960,40
2020-06-15-16-40-02.061695,40
2020-06-15-16-40-02.072555,40
2020-06-15-16-40-02.083668,40
2020-06-15-16-40-02.095661,40
2020-06-15-16-40-02.106277,27
2020-06-15-16-40-02.118619,34
2020-06-15-16-40-02.131222,34
2020-06-15-16-40-02.141899,34
2020-06-15-16-40-02.154157,38
2020-06-15-16-40-02.164480,9
2020-06-15-16-40-02.176589,9
2020-06-15-16-40-02.188608,9
2020-06-15-16-40-02.201014,-38
2020-06-15-16-40-02.212733,-38
2020-06-15-16-40-02.223638,-38
2020-06-15-16-40-02.234783,3
2020-06-15-16-40-02.246354,8
2020-06-15-16-40-02.258913,8
2020-06-15-16-40-02.270946,-2
2020-06-15-16-40-02.281392,2
2020-06-15-16-40-02.293917,2
2020-06-15-16-40-02.305832,2
2020-06-15-16-40-02.318169,-6
2020-06-15-16-40-02.330148,-6
2020-06-15-16-40-02.341883,-6
2020-06-15-16-40-02.352923,24
2020-06-15-16-40-02.363961,24
2020-06-15-16-40-02.374768,24
2020-06-15-16-40-02.386336,24
2020-06-15-16-40-02.398541,27
2020-06-15-16-40-02.411043,27
2020-06-15-16-40-02.422178,27
2020-06-15-16-40-02.433664,44
2020-06-15-16-40-02.445552,44
2020-06-15-16-40-02.455693,44
2020-06-15-16-40-02.467615,48
2020-06-15-16-40-02.479007,19
2020-06-15-16-40-02.490938,19
2020-06-15-16-40-02.501569,19
2020-06-15-16-40-02.512659,19
2020-06-15-16-40-02.523473,19
2020-06-15-16-40-02.535956,19
2020-06-15-16-40-02.548590,5
2020-06-15-16-40-02.561061,5
2020-06-15-16-40-02.572624,5
2020-06-15-16-40-02.584116,9
2020-06-15-16-40-02.596211,-3
2020-06-15-16-40-02.608542,-3
2020-06-15-16-40-02.621030,-8
2020-06-15-16-40-02.632514,-17
2020-06-15-16-40-02.644175,-17
2020-06-15-16-40-02.654541,-17
2020-06-15-16-40-02.666496,12
2020-06-15-16-40-02.678677,12
2020-06-15-16-40-02.690963,12
2020-06-15-16-40-02.701339,12
2020-06-15-16-40-02.712530,12
2020-06-15-16-40-02.723379,16
2020-06-15-16-40-02.734288,67
2020-06-15-16-40-02.746708,67
2020-06-15-16-40-02.758673,67
2020-06-15-16-40-02.771139,28
2020-06-15-16-40-02.783033,66
2020-06-15-16-40-02.794804,66
2020-06-15-16-40-02.806446,70
2020-06-15-16-40-02.818582,66
2020-06-15-16-40-02.830962,66
2020-06-15-16-40-02.843505,72
2020-06-15-16-40-02.854378,23
2020-06-15-16-40-02.865687,23
